																		
		Price Matrix for Scan-to-BIM																
																		
																		
	1	Residential Standard (Single Family)																
		Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		5k-10k	0.567	0.819	1.077	1.323	0.195	0.255	0.270	0.300	0.120	0.150	0.165	0.180	0.030	0.036	0.045	0.060
		10k-20k	0.489	0.719	0.949	1.167	0.180	0.240	0.255	0.285	0.105	0.135	0.150	0.165	0.025	0.028	0.033	0.045
		20k-30k	0.363	0.570	0.782	0.917	0.138	0.188	0.200	0.225	0.088	0.113	0.125	0.138	0.025	0.028	0.033	0.045
		30k-40k	0.299	0.460	0.695	0.810	0.100	0.150	0.163	0.188	0.075	0.100	0.113	0.125	0.020	0.020	0.024	0.032
		40k-50k	0.240	0.360	0.580	0.680	0.088	0.138	0.150	0.175	0.063	0.088	0.100	0.113	0.020	0.020	0.024	0.032
		50k-75k	0.173	0.293	0.404	0.473	0.060	0.100	0.110	0.130	0.050	0.070	0.080	0.090	0.020	0.020	0.024	0.028
		75k-100k	0.138	0.190	0.331	0.390	0.060	0.090	0.100	0.120	0.050	0.070	0.080	0.090	0.020	0.020	0.020	0.028
		100k+	0.086	0.155	0.204	0.245	0.045	0.060	0.068	0.083	0.030	0.045	0.053	0.060	0.020	0.020	0.020	0.024
																		
	12	Church/Temples/Religious building																
		A sacred space designed for worship, religious ceremonies, and community gatherings, reflecting architectural and spiritual significance.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.897	1.173	1.497	1.780	0.120	0.180	0.210	0.240	0.075	0.105	0.120	0.135	0.030	0.036	0.045	0.060
		5k-10k	0.788	1.040	1.298	1.544	0.105	0.165	0.180	0.210	0.075	0.105	0.120	0.135	0.030	0.036	0.045	0.060
		10k-20k	0.690	0.920	1.150	1.369	0.090	0.150	0.165	0.195	0.060	0.090	0.105	0.120	0.025	0.028	0.033	0.045
		20k-30k	0.596	0.803	0.963	1.098	0.063	0.113	0.125	0.150	0.050	0.075	0.088	0.100	0.025	0.028	0.033	0.045
		30k-40k	0.483	0.667	0.810	0.925	0.050	0.100	0.113	0.138	0.050	0.075	0.088	0.100	0.020	0.020	0.024	0.032
		40k-50k	0.400	0.560	0.680	0.780	0.038	0.088	0.100	0.125	0.038	0.063	0.075	0.088	0.020	0.020	0.024	0.032
		50k-75k	0.293	0.431	0.490	0.559	0.020	0.060	0.070	0.090	0.030	0.050	0.060	0.070	0.020	0.020	0.024	0.028
		75k-100k	0.224	0.328	0.417	0.476	0.020	0.050	0.060	0.080	0.030	0.050	0.060	0.070	0.020	0.020	0.020	0.028
		100k+	0.173	0.242	0.290	0.331	0.015	0.030	0.038	0.053	0.015	0.030	0.038	0.045	0.020	0.020	0.020	0.024
																		
	13	Infrastructure/Roads/Bridges																
		Infrastructure includes foundational facilities; roads serve as transport routes, and bridges are structures enabling passage over obstacles such as rivers or roads.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.276	0.414	0.483	0.552	0.360	0.480	0.540	0.600	0.075	0.105	0.120	0.135	0.060	0.066	0.075	0.090
		5k-10k	0.221	0.347	0.378	0.441	0.345	0.465	0.510	0.570	0.075	0.105	0.120	0.135	0.060	0.066	0.075	0.090
		10k-20k	0.173	0.288	0.316	0.374	0.330	0.450	0.495	0.540	0.060	0.090	0.105	0.120	0.050	0.053	0.058	0.070
		20k-30k	0.130	0.233	0.259	0.311	0.263	0.363	0.400	0.425	0.050	0.075	0.088	0.100	0.050	0.053	0.058	0.070
		30k-40k	0.092	0.184	0.207	0.253	0.250	0.350	0.388	0.400	0.050	0.075	0.088	0.100	0.040	0.040	0.044	0.052
		40k-50k	0.060	0.140	0.160	0.200	0.238	0.338	0.375	0.388	0.038	0.063	0.075	0.088	0.040	0.040	0.044	0.052
		50k-75k	0.035	0.104	0.121	0.155	0.160	0.240	0.260	0.270	0.030	0.050	0.060	0.070	0.040	0.040	0.044	0.048
		75k-100k	0.035	0.086	0.104	0.138	0.120	0.180	0.220	0.240	0.030	0.050	0.060	0.070	0.040	0.040	0.040	0.048
		100k+	0.035	0.069	0.086	0.121	0.068	0.098	0.113	0.128	0.015	0.030	0.038	0.045	0.040	0.040	0.040	0.044
																		
																		
		Last updated: November 26, 2024																
																		
		Price Matrix for Scan-to-CAD																
																		
																		
	1	Residential Standard (Single Family)																
		Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.																
																		
																		
		Discipline →	Scan-To-CAD															
		Area ↓ Basic Architecture A+S+Site A+S+MEP+Site	Basic Architecture	A+S+Site	A+S+MEP+Site													
		0-5k 	0.607	0.883	1.221													
		5k-10k	0.580	0.849	1.152													
		10k-20k 	0.504	0.750	1.021													
		20k-30k 	0.437	0.661	0.857													
																		
	2	Residential Standard (Multi Family)																
		Housing classification for structures designed to accommodate multiple separate dwelling units within a single building.																
																		
		Discipline →	Scan-To-CAD															
		Area ↓ Basic Architecture A+S+Site A+S+MEP+Site	Basic Architecture	A+S+Site	A+S+MEP+Site													
		0-5k 	0.662	0.938	1.283													
		5k-10k	0.580	0.832	1.109													
		10k-20k 	0.506	0.736	0.983													
		20k-30k 	0.414	0.596	0.818													
		30k-40k	0.350	0.511	0.708													
		40k-50k 	0.288	0.424	0.596													
		50k-75k 	0.221	0.352	0.424													
		75k-100k 	0.166	0.266	0.359													
		100k+ 	0.124	0.190	0.245													
																		
																		
	3	Residential Luxury 																
		High-end, upscale living spaces with premium amenities, exceptional design, and exclusive features, offering a luxurious lifestyle.																
																		
		Discipline →	Scan-To-CAD															
		Area ↓ Basic Architecture A+S+Site A+S+MEP+Site	Basic Architecture	A+S+Site	A+S+MEP+Site													
		0-5k 	0.745	1.028	1.380													
		5k-10k	0.655	0.914	1.197													
		10k-20k 	0.575	0.805	1.064													
		20k-30k 	0.497	0.704	0.891													
		30k-40k	0.405	0.589	0.750													
		40k-50k 	0.336	0.492	0.632													
		50k-75k 	0.248	0.383	0.455													
