"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at"
"279","2","100k+","structure","lod350","0.025","""2025-10-22T14:14:40.718Z"""
"280","2","100k+","structure","lod350plus","0.035","""2025-10-22T14:14:40.718Z"""
"281","2","100k+","mepf","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"282","2","100k+","mepf","lod300","0.020","""2025-10-22T14:14:40.718Z"""
"283","2","100k+","mepf","lod350","0.025","""2025-10-22T14:14:40.718Z"""
"284","2","100k+","mepf","lod350plus","0.030","""2025-10-22T14:14:40.718Z"""
"285","2","100k+","site","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"286","2","100k+","site","lod300","0.010","""2025-10-22T14:14:40.718Z"""
"287","2","100k+","site","lod350","0.010","""2025-10-22T14:14:40.718Z"""
"288","2","100k+","site","lod350plus","0.012","""2025-10-22T14:14:40.718Z"""
"289","3","0-5k","architecture","lod200","0.135","""2025-10-22T14:14:40.718Z"""
"290","3","0-5k","architecture","lod300","0.175","""2025-10-22T14:14:40.718Z"""
"291","3","0-5k","architecture","lod350","0.222","""2025-10-22T14:14:40.718Z"""
"292","3","0-5k","architecture","lod350plus","0.263","""2025-10-22T14:14:40.718Z"""
"293","3","0-5k","structure","lod200","0.050","""2025-10-22T14:14:40.718Z"""
"294","3","0-5k","structure","lod300","0.070","""2025-10-22T14:14:40.718Z"""
"295","3","0-5k","structure","lod350","0.080","""2025-10-22T14:14:40.718Z"""
"296","3","0-5k","structure","lod350plus","0.090","""2025-10-22T14:14:40.718Z"""
"297","3","0-5k","mepf","lod200","0.035","""2025-10-22T14:14:40.718Z"""
"298","3","0-5k","mepf","lod300","0.045","""2025-10-22T14:14:40.718Z"""
"299","3","0-5k","mepf","lod350","0.050","""2025-10-22T14:14:40.718Z"""
"300","3","0-5k","mepf","lod350plus","0.055","""2025-10-22T14:14:40.718Z"""
"301","3","0-5k","site","lod200","0.015","""2025-10-22T14:14:40.773Z"""
"302","3","0-5k","site","lod300","0.017","""2025-10-22T14:14:40.773Z"""
"303","3","0-5k","site","lod350","0.020","""2025-10-22T14:14:40.773Z"""
"304","3","0-5k","site","lod350plus","0.025","""2025-10-22T14:14:40.773Z"""
"305","3","5k-10k","architecture","lod200","0.130","""2025-10-22T14:14:40.773Z"""
"306","3","5k-10k","architecture","lod300","0.170","""2025-10-22T14:14:40.773Z"""
"307","3","5k-10k","architecture","lod350","0.211","""2025-10-22T14:14:40.773Z"""
"308","3","5k-10k","architecture","lod350plus","0.250","""2025-10-22T14:14:40.773Z"""
"309","3","5k-10k","structure","lod200","0.045","""2025-10-22T14:14:40.773Z"""
"310","3","5k-10k","structure","lod300","0.065","""2025-10-22T14:14:40.773Z"""
"311","3","5k-10k","structure","lod350","0.070","""2025-10-22T14:14:40.773Z"""
"312","3","5k-10k","structure","lod350plus","0.080","""2025-10-22T14:14:40.773Z"""
"313","3","5k-10k","mepf","lod200","0.035","""2025-10-22T14:14:40.773Z"""
"314","3","5k-10k","mepf","lod300","0.045","""2025-10-22T14:14:40.773Z"""
"315","3","5k-10k","mepf","lod350","0.050","""2025-10-22T14:14:40.773Z"""
"316","3","5k-10k","mepf","lod350plus","0.055","""2025-10-22T14:14:40.773Z"""
"317","3","5k-10k","site","lod200","0.015","""2025-10-22T14:14:40.773Z"""
"318","3","5k-10k","site","lod300","0.017","""2025-10-22T14:14:40.773Z"""
"319","3","5k-10k","site","lod350","0.020","""2025-10-22T14:14:40.773Z"""
"320","3","5k-10k","site","lod350plus","0.025","""2025-10-22T14:14:40.773Z"""
"321","3","10k-20k","architecture","lod200","0.125","""2025-10-22T14:14:40.773Z"""
"322","3","10k-20k","architecture","lod300","0.165","""2025-10-22T14:14:40.773Z"""
"323","3","10k-20k","architecture","lod350","0.205","""2025-10-22T14:14:40.773Z"""
"324","3","10k-20k","architecture","lod350plus","0.243","""2025-10-22T14:14:40.773Z"""
